-87       	247       	-189      	-229      	186       	222       	-249      	183       	
-96       	-243      	113       	-73       	-108      	-25       	211       	118       	
-125      	45        	32        	215       	168       	183       	41        	-171      	
-50       	-242      	99        	106       	-166      	143       	207       	56        	
-230      	-174      	-187      	248       	161       	-174      	229       	-24       	
218       	224       	-65       	188       	86        	-34       	47        	123       	
243       	244       	-3        	64        	189       	188       	115       	-135      	
-102      	187       	-39       	-15       	-35       	-255      	-210      	-155      	


-87       	-96       	-125      	-50       	-230      	218       	243       	-102      	
247       	-243      	45        	-242      	-174      	224       	244       	187       	
-189      	113       	32        	99        	-187      	-65       	-3        	-39       	
-229      	-73       	215       	106       	248       	188       	64        	-15       	
186       	-108      	168       	-166      	161       	86        	189       	-35       	
222       	-25       	183       	143       	-174      	-34       	188       	-255      	
-249      	211       	41        	207       	229       	47        	115       	-210      	
183       	118       	-171      	56        	-24       	123       	-135      	-155      	


-117      	-220      	-126      	-37       	47        	-235      	244       	-199      	
-199      	-159      	152       	-249      	-76       	-136      	-184      	-17       	
-13       	-193      	-16       	127       	-71       	-72       	-68       	-158      	
-82       	2         	40        	-4        	-2        	143       	254       	-219      	
-24       	204       	-119      	-51       	-58       	242       	233       	195       	
-7        	-73       	110       	-253      	-19       	-125      	190       	-73       	
102       	-251      	-89       	101       	253       	-77       	-216      	173       	
-225      	229       	99        	39        	231       	16        	-153      	-63       	


-117      	-199      	-13       	-82       	-24       	-7        	102       	-225      	
-220      	-159      	-193      	2         	204       	-73       	-251      	229       	
-126      	152       	-16       	40        	-119      	110       	-89       	99        	
-37       	-249      	127       	-4        	-51       	-253      	101       	39        	
47        	-76       	-71       	-2        	-58       	-19       	253       	231       	
-235      	-136      	-72       	143       	242       	-125      	-77       	16        	
244       	-184      	-68       	254       	233       	190       	-216      	-153      	
-199      	-17       	-158      	-219      	195       	-73       	173       	-63       	


-233      	29        	123       	-105      	132       	120       	-114      	-76       	
211       	-99       	34        	-103      	215       	-193      	144       	-11       	
124       	76        	65        	-143      	144       	76        	-220      	209       	
-20       	15        	-163      	228       	-94       	-114      	240       	-212      	
-223      	-38       	203       	69        	-225      	-254      	249       	-170      	
-149      	134       	109       	11        	123       	234       	-49       	219       	
109       	-78       	-50       	114       	225       	-217      	147       	203       	
5         	134       	-44       	215       	50        	252       	-198      	74        	


-233      	211       	124       	-20       	-223      	-149      	109       	5         	
29        	-99       	76        	15        	-38       	134       	-78       	134       	
123       	34        	65        	-163      	203       	109       	-50       	-44       	
-105      	-103      	-143      	228       	69        	11        	114       	215       	
132       	215       	144       	-94       	-225      	123       	225       	50        	
120       	-193      	76        	-114      	-254      	234       	-217      	252       	
-114      	144       	-220      	240       	249       	-49       	147       	-198      	
-76       	-11       	209       	-212      	-170      	219       	203       	74        	


